Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,implementation,Size,ObjectCode,mapable
0x1800,0x06,Transmit PDO Communication Parameter SYNC start value,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1801,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,6,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x1801,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1801,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1801,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1801,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1801,0x06,Transmit PDO Communication Parameter SYNC start value,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1802,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,6,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x1802,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1802,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1802,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1802,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1802,0x06,Transmit PDO Communication Parameter SYNC start value,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1803,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,6,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x1803,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1803,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1803,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1803,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1803,0x06,Transmit PDO Communication Parameter SYNC start value,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1a00,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x05,Transmit PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x06,Transmit PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x07,Transmit PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a00,0x08,Transmit PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1a01,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x05,Transmit PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x06,Transmit PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x07,Transmit PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a01,0x08,Transmit PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
